Hearing ID,Date,Title,PDF link,Raw Text link
tq_0,"u'July 27, 2011'","House Hearing, 112th Congress
									 - EDUCATION REFORMS: EXPLORING TEACHER QUALITY INITIATIVES",http://www.gpo.gov:80/fdsys/pkg/CHRG-112hhrg67445/pdf/CHRG-112hhrg67445.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-112hhrg67445/html/CHRG-112hhrg67445.htm
tq_1,"u'May 4, 2010'","House Hearing, 111th Congress
									 - SUPPORTING AMERICA'S EDUCATORS: THE IMPORTANCE OF QUALITY TEACHERS AND LEADERS",http://www.gpo.gov:80/fdsys/pkg/CHRG-111hhrg56130/pdf/CHRG-111hhrg56130.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-111hhrg56130/html/CHRG-111hhrg56130.htm
tq_2,"u'April 21, 2004'","House Hearing, 108th Congress
									 - THE IMPORTANCE OF HIGHLY QUALIFIED TEACHERS IN RAISING ACADEMIC ACHIEVEMENT",http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg93198/pdf/CHRG-108hhrg93198.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg93198/html/CHRG-108hhrg93198.htm
tq_3,"u'May 17, 2007'","House Hearing, 110th Congress
									 - PREPARING TEACHERS FOR THE CLASSROOM: THE ROLE OF THE HIGHER EDUCATION ACT AND NO CHILD LEFT BEHIND",http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg35187/pdf/CHRG-110hhrg35187.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg35187/html/CHRG-110hhrg35187.htm
tq_4,"u'May 27, 2004'","House Hearing, 108th Congress
									 - HIGHLY QUALIFIED TEACHERS AND RAISING STUDENT ACHIEVEMENT",http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg93983/pdf/CHRG-108hhrg93983.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg93983/html/CHRG-108hhrg93983.htm
tq_5,"u'September 30, 2009'","House Hearing, 111th Congress
									 - TEACHER EQUITY: EFFECTIVE TEACHERS FOR ALL CHILDREN",http://www.gpo.gov:80/fdsys/pkg/CHRG-111hhrg52414/pdf/CHRG-111hhrg52414.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-111hhrg52414/html/CHRG-111hhrg52414.htm
tq_6,"u'February 16, 2012'","House Hearing, 112th Congress
									 - H.R. 3989, THE STUDENT SUCCESS ACT, AND H.R. 3990, THE ENCOURAGING INNOVATION AND EFFECTIVE TEACHERS ACT",http://www.gpo.gov:80/fdsys/pkg/CHRG-112hhrg72814/pdf/CHRG-112hhrg72814.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-112hhrg72814/html/CHRG-112hhrg72814.htm
tq_7,"u'February 28, 2013'","House Hearing, 113th Congress
									 - RAISING THE BAR: HOW ARE SCHOOLS MEASURING TEACHER PERFORMANCE?",http://www.gpo.gov:80/fdsys/pkg/CHRG-113hhrg78991/pdf/CHRG-113hhrg78991.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-113hhrg78991/html/CHRG-113hhrg78991.htm
tq_8,"u'January 1, 2001'","House Hearing, 107th Congress
									 - TRAINING TOMORROW'S TEACHERS: ENSURING A QUALITY POSTSECONDARY EDUCATION",http://www.gpo.gov:80/fdsys/pkg/CHRG-107hhrg82897/pdf/CHRG-107hhrg82897.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-107hhrg82897/html/CHRG-107hhrg82897.htm
tq_9,"u'May 10, 2007'","House Hearing, 110th Congress
									 - ESEA REAUTHORIZATION: BOOSTING QUALITY IN THE TEACHING PROFESSION",http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg34990/pdf/CHRG-110hhrg34990.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg34990/html/CHRG-110hhrg34990.htm
tq_10,"u'April 15, 2010'",S. Hrg. 111-1100 - ESEA REAUTHORIZATION: TEACHERS AND LEADERS,http://www.gpo.gov:80/fdsys/pkg/CHRG-111shrg56088/pdf/CHRG-111shrg56088.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-111shrg56088/html/CHRG-111shrg56088.htm
tq_11,"u'July 24, 2012'","House Hearing, 112th Congress
									 - EDUCATION REFORMS: DISCUSSING THE VALUE OF ALTERNATIVE TEACHER CERTIFICATION PROGRAMS",http://www.gpo.gov:80/fdsys/pkg/CHRG-112hhrg75109/pdf/CHRG-112hhrg75109.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-112hhrg75109/html/CHRG-112hhrg75109.htm
tq_12,"u'May 20, 2003'","House Hearing, 108th Congress
									 - AMERICA'S TEACHER COLLEGES: ARE THEY MAKING THE GRADE?",http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg87985/pdf/CHRG-108hhrg87985.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg87985/html/CHRG-108hhrg87985.htm
tq_13,"u'February 28, 2006'","S. Hrg. 109-344 - PROTECTING AMERICA'S COMPETITIVE EDGE ACT (S. 2198): FINDING, TRAINING, AND KEEPING TALENTED MATH AND SCIENCE TEACHERS",http://www.gpo.gov:80/fdsys/pkg/CHRG-109shrg26353/pdf/CHRG-109shrg26353.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-109shrg26353/html/CHRG-109shrg26353.htm
tq_14,"u'April 27, 2005'",S. Hrg. 109-78 - ROUNDTABLE DISCUSSION: MEETING THE HIGHLY QUALIFIED TEACHER CRITERIA FOR SPECIAL EDUCATION TEACHERS,http://www.gpo.gov:80/fdsys/pkg/CHRG-109shrg21018/pdf/CHRG-109shrg21018.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-109shrg21018/html/CHRG-109shrg21018.htm
tq_15,"u'November 16, 2011'","House Hearing, 112th Congress
									 - EDUCATION RESEARCH: IDENTIFYING EFFECTIVE PROGRAMS TO SUPPORT STUDENTS AND TEACHERS",http://www.gpo.gov:80/fdsys/pkg/CHRG-112hhrg71259/pdf/CHRG-112hhrg71259.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-112hhrg71259/html/CHRG-112hhrg71259.htm
tq_16,"u'March 16, 2004'",S. Hrg. 108-468 - RURAL TEACHER HOUSING ACT,http://www.gpo.gov:80/fdsys/pkg/CHRG-108shrg92775/pdf/CHRG-108shrg92775.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-108shrg92775/html/CHRG-108shrg92775.htm
tq_17,"u'March 6, 2007'","S. Hrg. 110-154 - NCLB REAUTHORIZATION: STRATEGIES FOR ATTRACTING, SUPPORTING AND RETAINING HIGH QUALITY EDUCATORS",http://www.gpo.gov:80/fdsys/pkg/CHRG-110shrg34052/pdf/CHRG-110shrg34052.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-110shrg34052/html/CHRG-110shrg34052.htm
tq_18,"u'March 8, 2012'",S. Hrg. 112-902 - THE KEY TO AMERICA'S GLOBAL COMPETITIVENESS: A QUALITY EDUCATION,http://www.gpo.gov:80/fdsys/pkg/CHRG-112shrg90749/pdf/CHRG-112shrg90749.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-112shrg90749/html/CHRG-112shrg90749.htm
tq_19,"u'July 23, 2007'","House Hearing, 110th Congress
									 - REAUTHORIZATION OF THE ELEMENTARY AND SECONDARY EDUCATION ACT OF 1965",http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg37638/pdf/CHRG-110hhrg37638.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg37638/html/CHRG-110hhrg37638.htm
tq_20,"u'March 13, 2007'","Joint Hearing, 110th Congress
									 - ELEMENTARY AND SECONDARY ACT REAUTHORIZATION: IMPROVING NCLB TO CLOSE THE ACHIEVEMENT GAP",http://www.gpo.gov:80/fdsys/pkg/CHRG-110jhrg33757/pdf/CHRG-110jhrg33757.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-110jhrg33757/html/CHRG-110jhrg33757.htm
tq_21,"u'October 12, 2011'","House Hearing, 112th Congress
									 - WHAT MAKES FOR SUCCESSFUL K-12 STEM EDUCATION: A CLOSER LOOK AT EFFECTIVE STEM EDUCATION APPROACHES",http://www.gpo.gov:80/fdsys/pkg/CHRG-112hhrg70588/pdf/CHRG-112hhrg70588.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-112hhrg70588/html/CHRG-112hhrg70588.htm
tq_22,"u'May 3, 2006'","House Hearing, 109th Congress
									 - THE ROLE OF THE NATIONAL SCIENCE FOUNDATION IN K-12 SCIENCE AND MATH EDUCATION",http://www.gpo.gov:80/fdsys/pkg/CHRG-109hhrg27255/pdf/CHRG-109hhrg27255.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-109hhrg27255/html/CHRG-109hhrg27255.htm
tq_23,"u'October 10, 2007'","House Hearing, 110th Congress
									 - ASSESSMENT OF THE NATIONAL SCIENCE BOARD'S ACTION PLAN FOR STEM EDUCATION",http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg38056/pdf/CHRG-110hhrg38056.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg38056/html/CHRG-110hhrg38056.htm
